ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,5253179637760.0,27.503162,26.95787,27.181,0.6279,0.44,117.211,16.971,63.663000000000004,66.236997,1.0,5253.17963776,,,,
AAPL,Apple Inc.,Technology,United States,USD,4665759498240.0,36.704937,43.4375,27.465,2.5365,0.34,148.75101,78.445,27.618998,32.623002,1.0,4665.75949824,0.62,25.15,-13.8,0.12
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4238773059584.0,17.390366,6.8097687,23.46,0.9232,0.26,48.676,18.859,54.771,34.033,1.0,4238.773059584,1.18,32.74,-21.05,0.14
MSFT,Microsoft Corporation,Technology,United States,USD,3813240733696.0,28.640827,8.621339,19.576,1.6402,0.72,34.039003,29.118,40.305,45.111000000000004,1.0,3813.240733696,0.7,32.42,-34.5,0.07
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2873797378048.0,21.434431,5.2081866,17.126,1.3642,,30.558002000000002,45.617,17.44,13.689000000000002,1.0,2873.797378048,1.16,34.51,-21.74,0.12
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2165456502784.0,31.111773,85.94378,4.837,1.0216,1.02,39.969003,16.504,49.923,60.344005,1.0,2165.456502784,2.13,40.49,-21.55,0.2
SPCX,Space Exploration Technologies ,Industrials,United States,USD,1865221931008.0,,14.6541,619.558,,,,31.211,-35.661998,-1.804,1.0,1865.221931008,3.15,100.15,-48.78,0.1
AVGO,Broadcom Inc.,Technology,United States,USD,1754548011008.0,61.2608,20.01031,43.078,0.4176,0.7,37.280998,74.018,38.848,48.988,1.0,1754.548011008,1.93,48.41,-28.67,0.13
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1472509509632.0,21.762802,5.6381197,13.469,0.8526,0.37,29.848000000000003,42.997,29.834998000000002,34.827000000000005,1.0,1472.509509632,1.12,38.89,-32.46,0.11
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1377404715008.0,329.00946,15.855876,127.806,5.1987,,4.6669997,18.373,3.671,1.4099999,1.0,1377.404715008,1.96,46.61,-39.1,0.16
SKHY,SK hynix Inc.,Technology,South Korea,USD,1143150215168.0,9.777778,6.138996,-0.455,0.3117,,92.679,8.037,85.619,76.328003,1.0,1143.150215168,5.8,131.87,-34.62,0.06
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1081058459648.0,12.69163,0.00096701446,-1.79,,,12.1199995,17.142,22.296,32.561,1.0,1081.058459648,0.01,14.68,-9.42,0.05
MU,"Micron Technology, Inc.",Technology,United States,USD,1053565648896.0,21.086346,10.456314,15.197,0.1374,0.06,66.63799999999999,6.33,55.906,80.370003,1.0,1053.565648896,3.41,81.77,-39.1,0.14
LLY,Eli Lilly and Company,Healthcare,United States,USD,1047448322048.0,39.46942,30.909163,26.237,1.4794,0.59,102.28600000000002,162.071,33.528998,54.222,1.0,1047.448322048,0.35,35.98,-23.18,0.07
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,950620520448.0,15.322193,2.6887305,,1.7324,1.69,17.788999999999998,,34.921002,50.394000000000005,1.0,950.620520448,0.7,22.4,-15.47,0.2
WMT,Walmart Inc.,Consumer Defensive,United States,USD,820398325760.0,37.351448,8.701047,18.814,3.9119,0.96,22.313999000000003,70.378,3.0,4.993,1.0,820.39832576,-0.05,26.03,-23.34,0.03
AMD,"Advanced Micro Devices, Inc.",Technology,United States,USD,760047665152.0,119.074165,11.302954,80.456,1.0208,,10.196,6.361,15.577,17.25,1.0,760.047665152,3.03,71.97,-27.76,0.15
V,Visa Inc.,Financial Services,United States,USD,712465252352.0,32.53197,20.222574,22.782,1.7201,0.71,61.19,67.821,50.782000000000004,66.130996,1.0,712.465252352,0.17,22.25,-17.18,0.09
ASML,ASML Holding N.V. - New York Re,Technology,Netherlands,USD,651495079936.0,57.16751,1422.9442,2744.402,2.0665,0.52,53.942,9.092,30.114,37.057,1.0,651.495079936,2.34,46.49,-21.95,0.2
JNJ,Johnson & Johnson,Healthcare,United States,USD,645949227008.0,31.131245,7.5966444,19.177,4.6557,2.02,25.741999999999997,57.709,21.482,29.189999999999998,1.0,645.949227008,-0.14,18.89,-10.96,0.03
