ticker,nome,settore,paese,valuta,mcap_local,PE,PB,EV_EBITDA,PEG,div_yield_%,ROE_%,debt_equity,margine_netto_%,margine_oper_%,fx_usd,mcap_usd_mld,beta,volatilita_%,max_drawdown_%,corr_media
NVDA,NVIDIA Corporation,Technology,United States,USD,4967727366144.0,31.457056,31.69036,29.744,0.6319,0.49,114.28799999999998,6.555,62.966,65.596,1.0,4967.727366144,1.56,34.85,-20.21,0.16
AAPL,Apple Inc.,Technology,United States,USD,4514011676672.0,37.16324,42.333332,28.318,2.4704,0.35,141.47099,79.548,27.152001999999996,32.275,1.0,4514.011676672,0.79,22.36,-13.8,0.16
GOOGL,Alphabet Inc.,Communication Services,United States,USD,4494199357440.0,28.089176,9.326568,27.487,1.451,0.24,38.884997,20.026,37.919000000000004,36.120999999999995,1.0,4494.19935744,1.19,29.34,-20.37,0.17
MSFT,Microsoft Corporation,Technology,United States,USD,3095206035456.0,24.816557,7.4702835,17.036,1.2845,0.87,34.013999,30.271,39.341998000000004,46.326,1.0,3095.206035456,0.65,25.33,-33.91,0.07
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,USD,2646571745280.0,31.664093,5.987151,17.573,1.8344,,24.285,53.3,12.224,13.139999999999999,1.0,2646.57174528,1.19,30.19,-21.74,0.15
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,2153268510720.0,35.575836,91.88321,2.983,1.293,0.92,36.21,18.447,46.505,58.105,1.0,2153.26851072,1.94,36.39,-18.14,0.22
AVGO,Broadcom Inc.,Technology,United States,USD,1826303639552.0,64.07475,20.880747,44.73,0.8815,0.67,37.280998,74.018,38.848,48.988,1.0,1826.303639552,1.87,45.33,-28.67,0.16
META,"Meta Platforms, Inc.",Communication Services,United States,USD,1505284980736.0,21.547964,6.176247,13.822,0.9067,0.35,32.930002,35.608,32.836999999999996,40.617,1.0,1505.284980736,1.25,35.61,-33.3,0.13
TSLA,"Tesla, Inc.",Consumer Cyclical,United States,USD,1468487958528.0,358.71558,17.856327,129.829,5.7618,,4.901,18.738,3.946,4.202999999999999,1.0,1468.487958528,1.75,44.47,-29.93,0.16
BRK-B,Berkshire Hathaway Inc. New,Financial Services,United States,USD,1052825026560.0,14.53633,0.00096552446,-2.25,,,10.499,17.669,19.305,14.352,1.0,1052.82502656,0.05,14.41,-9.42,0.06
LLY,Eli Lilly and Company,Healthcare,United States,USD,1008934060032.0,40.164005,32.40313,28.911,1.5167,0.61,107.45899999999999,139.015,34.986,49.386,1.0,1008.934060032,0.54,38.21,-23.64,0.08
MU,"Micron Technology, Inc.",Technology,United States,USD,974373453824.0,40.812943,13.450348,26.372,0.2977,0.07,39.823002,14.902,41.486000000000004,67.624,1.0,974.373453824,2.77,68.25,-30.28,0.16
WMT,Walmart Inc.,Consumer Defensive,United States,USD,946056396800.0,41.859154,9.509639,22.693,4.6796,0.83,24.132,74.816,3.1350000000000002,4.2150001999999995,1.0,946.0563968,0.04,23.76,-15.75,0.03
JPM,JP Morgan Chase & Co.,Financial Services,United States,USD,836998922240.0,14.945933,2.433186,,1.6582,1.92,16.465001,,33.936,43.741,1.0,836.99892224,0.83,21.66,-15.47,0.22
AMD,"Advanced Micro Devices, Inc.",Technology,United States,USD,760479481856.0,156.50336,11.7930565,101.212,1.2586,,8.062999999999999,6.005,13.374,14.396,1.0,760.479481856,2.64,66.16,-27.76,0.16
ASML,ASML Holding N.V. - New York Re,Technology,Netherlands,USD,632755585024.0,54.651794,1453.3076,49.357,2.5869,0.54,52.236000000000004,12.989,29.713,36.020002,1.0,632.755585024,2.13,41.35,-17.85,0.23
XOM,Exxon Mobil Corporation,Energy,United States,USD,621410451456.0,25.239058,2.4153764,11.914,1.3845,2.75,9.873,18.261,7.7649995999999994,6.3549999999999995,1.0,621.410451456,-0.35,24.47,-15.69,-0.05
V,Visa Inc.,Financial Services,United States,USD,615347257344.0,28.25939,17.357044,20.58,1.4618,0.83,60.349,67.233,51.679003,67.34599999999999,1.0,615.347257344,0.42,22.34,-20.38,0.12
ORCL,Oracle Corporation,Technology,United States,USD,614553485312.0,38.293907,18.316475,27.08,1.3516,0.94,57.572,415.265,25.298,32.676,1.0,614.553485312,1.59,65.5,-58.25,0.08
JNJ,Johnson & Johnson,Healthcare,United States,USD,560327884800.0,26.940971,6.8999557,17.284,3.0253,2.3,26.416,67.73,21.834,27.407999999999998,1.0,560.3278848,0.1,16.9,-10.96,0.06
INTC,Intel Corporation,Technology,United States,USD,498428411904.0,,4.47175,36.988,,,-2.911,36.028,-5.904,6.8790000000000004,1.0,498.428411904,2.34,73.15,-24.17,0.14
CSCO,"Cisco Systems, Inc.",Technology,United States,USD,479436111872.0,40.546665,9.808887,29.153,1.6881,1.38,25.229000000000003,67.541,19.685,24.992001,1.0,479.436111872,0.87,30.77,-13.57,0.14
MA,Mastercard Incorporated,Financial Services,United States,USD,433910349824.0,28.402542,64.82048,20.801,1.5376,0.71,232.076,282.059,45.876,60.836,1.0,433.910349824,0.35,22.3,-20.91,0.11
COST,Costco Wholesale Corporation,Consumer Defensive,United States,USD,431003762688.0,48.788654,26.070873,31.131,4.753,0.61,29.152,60.257,3.01,3.6730002999999996,1.0,431.003762688,-0.02,18.82,-16.02,0.02
